Id,Category
0,6
1,0
2,0
3,6
4,4
5,1
6,6
7,1
8,0
9,1
10,6
11,3
12,5
13,0
14,0
15,6
16,0
17,8
18,7
19,4
20,6
21,1
22,0
23,4
24,0
25,3
26,4
27,4
28,4
29,0
30,7
31,4
32,2
33,2
34,5
35,5
36,2
37,4
38,1
39,4
40,2
41,3
42,7
43,5
44,0
45,5
46,8
47,1
48,9
49,0
50,5
51,0
52,9
53,6
54,0
55,8
56,4
57,2
58,4
59,0
60,4
61,3
62,3
63,8
64,8
65,9
66,1
67,2
68,6
69,1
70,9
71,6
72,2
73,4
74,9
75,9
76,3
77,0
78,5
79,8
80,0
81,5
82,1
83,5
84,9
85,4
86,5
87,6
88,3
89,4
90,0
91,4
92,5
93,4
94,9
95,8
96,5
97,3
98,0
99,3
100,4
101,9
102,0
103,8
104,0
105,0
106,5
107,0
108,2
109,3
110,0
111,4
112,4
113,1
114,2
115,9
116,5
117,0
118,3
119,5
120,4
121,9
122,0
123,6
124,8
125,4
126,4
127,5
128,5
129,5
130,3
131,5
132,4
133,5
134,1
135,0
136,9
137,3
138,5
139,3
140,6
141,0
142,6
143,9
144,4
145,3
146,0
147,0
148,3
149,6
150,4
151,6
152,0
153,2
154,5
155,4
156,9
157,6
158,1
159,6
160,4
161,3
162,5
163,6
164,9
165,1
166,1
167,1
168,4
169,9
170,8
171,4
172,1
173,9
174,4
175,6
176,1
177,5
178,6
179,6
180,6
181,4
182,2
183,5
184,3
185,1
186,8
187,5
188,0
189,2
190,9
191,0
192,3
193,3
194,4
195,5
196,0
197,4
198,2
199,5
200,3
201,1
202,1
203,0
204,1
205,4
206,4
207,1
208,6
209,1
210,9
211,4
212,9
213,9
214,9
215,3
216,2
217,6
218,6
219,1
220,6
221,0
222,0
223,1
224,3
225,6
226,6
227,6
228,6
229,9
230,0
231,6
232,0
233,8
234,5
235,0
236,9
237,8
238,1
239,0
240,5
241,6
242,5
243,0
244,9
245,9
246,6
247,4
248,3
249,3
250,6
251,3
252,2
253,7
254,4
255,9
256,3
257,9
258,3
259,4
260,9
261,5
262,8
263,2
264,1
265,3
266,4
267,4
268,1
269,4
270,8
271,8
272,5
273,1
274,9
275,5
276,6
277,6
278,9
279,6
280,6
281,5
282,4
283,6
284,2
285,5
286,0
287,3
288,0
289,9
290,4
291,6
292,6
293,3
294,0
295,6
296,4
297,0
298,4
299,5
300,5
301,9
302,5
303,2
304,2
305,5
306,0
307,6
308,3
309,5
310,2
311,4
312,4
313,5
314,4
315,4
316,5
317,0
318,5
319,5
320,0
321,6
322,9
323,3
324,8
325,6
326,7
327,0
328,3
329,9
330,6
331,4
332,4
333,0
334,6
335,6
336,5
337,5
338,2
339,8
340,0
341,9
342,0
343,5
344,3
345,5
346,6
347,5
348,4
349,0
350,9
351,0
352,5
353,3
354,1
355,0
356,6
357,9
