Id,Category
0,4
1,0
2,0
3,2
4,4
5,0
6,3
7,2
8,0
9,1
10,1
11,3
12,1
13,0
14,0
15,7
16,0
17,0
18,7
19,7
20,4
21,7
22,0
23,4
24,0
25,3
26,7
27,4
28,4
29,0
30,1
31,4
32,7
33,2
34,4
35,4
36,6
37,4
38,1
39,4
40,2
41,3
42,7
43,4
44,0
45,7
46,0
47,0
48,9
49,0
50,5
51,0
52,9
53,7
54,0
55,8
56,4
57,7
58,4
59,0
60,9
61,4
62,4
63,8
64,0
65,8
66,0
67,2
68,4
69,4
70,2
71,3
72,2
73,4
74,0
75,0
76,3
77,0
78,1
79,8
80,0
81,1
82,1
83,4
84,9
85,4
86,4
87,4
88,4
89,7
90,0
91,7
92,4
93,7
94,9
95,9
96,4
97,4
98,0
99,3
100,4
101,9
102,0
103,8
104,0
105,0
106,4
107,1
108,2
109,3
110,0
111,4
112,4
113,1
114,2
115,9
116,4
117,0
118,6
119,1
120,7
121,2
122,0
123,7
124,8
125,4
126,4
127,4
128,1
129,5
130,2
131,7
132,4
133,7
134,4
135,0
136,9
137,4
138,7
139,3
140,4
141,0
142,6
143,8
144,4
145,0
146,0
147,2
148,7
149,7
150,7
151,2
152,8
153,2
154,4
155,4
156,9
157,4
158,1
159,2
160,4
161,4
162,4
163,4
164,2
165,1
166,7
167,1
168,4
169,0
170,8
171,4
172,1
173,0
174,4
175,8
176,4
177,1
178,3
179,3
180,0
181,7
182,2
183,5
184,5
185,0
186,8
187,1
188,0
189,2
190,2
191,0
192,4
193,3
194,4
195,1
196,0
197,7
198,2
199,4
200,4
201,1
202,1
203,0
204,1
205,4
206,7
207,4
208,8
209,1
210,9
211,4
212,2
213,9
214,2
215,4
216,2
217,3
218,4
219,1
220,6
221,0
222,0
223,4
224,4
225,4
226,7
227,7
228,7
229,0
230,0
231,6
232,0
233,0
234,5
235,0
236,2
237,0
238,9
239,8
240,4
241,4
242,7
243,0
244,2
245,0
246,7
247,4
248,3
249,4
250,3
251,3
252,2
253,7
254,7
255,9
256,7
257,8
258,3
259,7
260,9
261,4
262,8
263,2
264,1
265,4
266,7
267,4
268,1
269,7
