Id,Category
0,4
1,8
2,5
3,6
4,4
5,4
6,6
7,1
8,8
9,1
10,8
11,3
12,1
13,0
14,8
15,4
16,0
17,8
18,1
19,4
20,5
21,1
22,8
23,4
24,8
25,3
26,4
27,4
28,4
29,2
30,1
31,4
32,7
33,2
34,4
35,4
36,3
37,4
38,1
39,4
40,2
41,2
42,7
43,4
44,0
45,4
46,8
47,1
48,9
49,0
50,5
51,2
52,9
53,4
54,8
55,8
56,4
57,2
58,4
59,0
60,8
61,4
62,4
63,8
64,0
65,8
66,1
67,2
68,4
69,4
70,9
71,3
72,2
73,4
74,8
75,8
76,8
77,0
78,1
79,8
80,8
81,1
82,1
83,4
84,8
85,4
86,4
87,4
88,4
89,4
90,0
91,4
92,4
93,4
94,8
95,8
96,4
97,3
98,0
99,3
100,4
101,8
102,0
103,8
104,2
105,2
106,4
107,1
108,2
109,3
110,8
111,4
112,4
113,1
114,2
115,9
116,4
117,8
118,5
119,1
120,4
121,8
122,8
123,1
124,8
125,4
126,4
127,4
128,1
129,5
130,8
131,4
132,4
133,4
134,4
135,0
136,9
137,4
138,1
139,3
140,4
141,8
142,3
143,8
144,4
145,5
146,8
147,2
148,3
149,4
150,4
151,6
152,8
153,2
154,4
155,4
156,9
157,4
158,4
159,3
160,4
161,4
162,4
163,4
164,2
165,1
166,7
167,1
168,4
169,8
170,8
171,4
172,1
173,8
174,4
175,8
176,4
177,1
178,6
179,3
180,1
181,4
182,6
183,4
184,3
185,1
186,8
187,1
188,8
189,8
190,2
191,0
192,4
193,3
194,4
195,5
196,0
197,4
198,9
199,4
200,4
201,1
202,1
203,0
204,1
205,4
206,1
207,4
208,2
209,1
210,8
211,4
212,2
213,2
214,9
215,4
216,2
217,3
218,4
219,1
220,4
221,0
222,0
223,4
224,4
225,4
226,4
227,4
228,4
229,2
230,2
231,6
232,0
233,8
234,5
235,0
236,2
237,8
238,7
239,8
240,4
241,4
242,5
243,8
244,2
245,8
246,3
247,4
248,3
249,4
250,3
251,3
252,2
253,4
254,4
255,9
256,4
257,8
258,3
259,4
260,2
261,4
262,8
263,2
264,1
265,4
266,4
267,4
268,1
269,4
270,8
271,8
272,1
273,1
274,8
275,4
276,4
277,6
278,8
279,4
280,4
281,7
282,4
283,4
284,2
285,5
286,2
287,4
288,0
289,8
290,4
291,6
292,4
293,3
294,8
295,4
296,4
297,0
298,4
299,1
300,4
301,8
302,1
303,2
304,2
305,4
306,8
307,3
308,5
309,4
310,2
311,4
312,4
313,2
314,3
315,4
316,5
317,0
318,4
319,4
320,0
321,4
322,8
323,4
324,8
325,4
326,4
327,3
328,4
329,8
330,4
331,4
332,4
333,8
334,4
335,7
336,4
337,5
338,2
339,8
340,0
341,9
342,0
343,4
344,3
345,1
346,3
347,1
348,4
349,8
350,8
351,8
352,4
353,3
354,1
355,8
356,2
357,9
358,0
359,1
360,4
361,1
362,4
363,1
364,4
365,8
366,4
367,4
368,8
369,2
370,6
371,1
372,4
373,8
374,4
375,4
376,4
377,3
378,4
379,9
380,4
381,9
382,3
383,0
384,0
385,2
386,8
387,4
388,2
389,1
390,4
391,4
392,2
393,9
394,4
395,8
396,8
397,3
398,0
399,9
400,4
401,1
402,2
403,2
404,9
405,4
406,2
407,0
408,4
409,1
410,4
411,4
412,0
413,4
414,3
415,4
416,1
417,4
418,2
419,3
420,5
421,1
422,3
423,4
424,4
425,4
426,4
427,4
428,2
429,8
430,4
431,1
432,8
433,8
434,4
435,0
436,4
437,8
438,4
439,1
440,4
441,8
442,0
443,8
444,4
445,4
446,4
447,7
448,8
449,8
450,5
451,8
452,4
453,1
454,4
455,7
456,8
457,8
458,1
459,8
460,7
461,4
462,8
463,8
464,1
465,7
466,6
467,4
468,5
469,4
470,8
471,0
472,9
473,0
474,0
475,4
476,7
477,8
478,2
479,9
480,4
481,8
482,3
483,8
484,4
485,4
486,1
487,1
488,9
489,3
490,8
491,8
492,4
493,4
494,4
495,8
496,4
497,8
498,3
499,4
500,4
501,3
502,8
503,4
504,4
505,0
506,4
507,1
508,6
509,2
510,7
511,4
512,4
513,3
514,8
515,1
516,3
517,1
518,4
519,4
520,2
521,3
522,4
523,3
524,0
525,1
526,9
527,8
528,8
529,5
530,8
531,4
532,3
533,4
534,0
535,6
536,8
537,1
538,8
539,1
540,4
541,7
542,2
543,1
544,4
545,9
546,2
547,8
548,1
549,8
550,1
551,4
552,0
553,4
554,4
555,8
556,4
557,4
558,6
559,1
560,4
561,3
562,4
563,3
564,1
565,4
566,9
567,2
568,2
569,9
570,3
571,8
572,1
573,4
574,8
575,8
576,3
577,0
578,4
579,2
580,1
581,5
582,4
583,4
584,0
585,4
586,1
587,4
588,8
589,5
590,1
591,0
592,3
593,8
594,8
595,4
596,4
597,7
598,2
599,4
600,3
601,6
602,1
603,4
604,9
605,4
606,0
607,7
608,2
609,3
610,0
611,4
612,3
613,2
614,4
615,4
616,4
617,4
618,6
619,4
620,4
621,1
622,8
623,3
624,7
625,4
626,8
627,0
628,1
629,8
630,6
631,4
632,8
633,4
634,4
635,4
636,7
637,4
638,0
639,8
640,1
641,8
642,4
643,4
644,4
645,4
646,1
647,1
648,4
649,8
650,4
651,8
652,8
653,1
654,3
655,3
656,4
657,4
658,0
659,1
660,4
661,4
662,4
663,8
664,3
665,8
666,0
667,8
668,8
669,4
670,1
671,2
672,8
673,2
674,3
675,9
676,3
677,8
678,1
679,0
680,3
681,0
682,8
683,3
684,4
685,2
686,8
687,4
688,1
689,7
690,3
691,2
692,4
693,8
694,1
695,0
696,2
697,4
698,4
699,4
700,4
701,8
702,8
703,3
704,2
705,8
706,4
707,4
708,3
709,4
710,2
711,2
712,2
713,2
714,8
715,4
716,0
717,8
718,4
719,5
720,4
721,8
722,8
723,2
724,4
725,2
726,1
727,8
728,8
729,7
730,4
731,4
732,0
733,8
734,4
735,8
736,4
737,1
738,4
739,3
740,2
741,7
742,9
743,6
744,1
745,4
746,4
747,8
748,4
749,4
750,6
751,8
752,4
753,2
754,5
755,3
756,4
757,4
758,0
759,2
760,4
761,3
762,2
763,2
764,4
765,7
766,0
767,9
768,8
769,2
770,4
771,2
772,5
773,8
774,0
775,5
776,4
777,4
778,4
779,4
780,8
781,2
782,6
783,9
784,2
785,8
786,1
787,0
788,2
789,0
790,2
791,2
792,4
793,1
794,2
795,7
796,8
797,9
798,4
799,4
800,8
801,4
802,2
803,6
804,2
805,5
806,4
807,8
808,4
809,1
810,6
811,4
812,6
813,7
814,4
815,4
816,4
817,5
818,9
819,8
820,9
821,0
822,8
823,8
824,0
825,4
826,2
827,8
828,3
829,2
830,2
831,4
832,4
833,4
834,4
835,4
836,2
837,4
838,4
839,7
840,2
841,8
842,4
843,8
844,5
845,4
846,8
847,8
848,3
849,0
850,2
851,1
852,8
853,8
854,4
855,9
856,8
857,8
858,9
859,1
860,8
861,3
862,4
863,2
864,8
865,4
866,2
867,4
868,8
869,0
870,4
871,0
872,8
873,2
874,2
875,8
876,3
877,8
878,2
879,4
880,4
881,1
882,2
883,5
884,9
885,8
886,5
887,1
888,2
889,4
890,5
891,8
892,1
893,6
894,8
895,8
896,8
897,6
898,8
899,4
900,4
901,4
902,4
903,2
904,4
905,0
906,4
907,8
908,8
909,4
910,3
911,4
912,1
913,1
914,9
915,4
916,2
917,4
918,8
919,0
920,0
921,2
922,1
923,4
924,1
925,4
926,4
927,0
928,5
929,9
930,1
931,6
932,8
933,8
934,7
935,4
936,9
937,8
938,4
939,2
940,4
941,2
942,2
943,0
944,2
945,4
946,2
947,4
948,4
949,8
950,7
951,9
952,7
953,0
954,4
955,7
956,8
957,1
958,2
959,4
960,9
961,0
962,9
963,4
964,4
965,4
966,3
967,9
968,4
969,1
970,1
971,2
972,4
973,8
974,2
975,8
976,8
977,4
978,3
979,2
980,4
981,2
982,4
983,3
984,3
985,8
986,4
987,3
988,4
989,4
990,3
991,1
992,1
993,9
994,4
995,4
996,4
997,8
998,4
999,2
1000,4
1001,9
1002,3
1003,2
1004,3
1005,8
1006,2
1007,3
1008,5
1009,4
1010,4
1011,1
1012,9
1013,4
1014,4
1015,4
1016,8
1017,4
1018,0
1019,4
1020,7
1021,4
1022,4
1023,3
1024,4
1025,4
1026,1
1027,0
1028,4
1029,4
1030,7
1031,4
1032,9
1033,3
1034,6
1035,4
1036,1
1037,4
1038,4
1039,1
1040,0
1041,4
1042,9
1043,4
1044,4
1045,1
1046,0
1047,4
1048,4
1049,2
1050,4
1051,0
1052,4
1053,1
1054,0
1055,4
1056,1
1057,8
1058,8
1059,4
1060,3
1061,4
1062,4
1063,1
1064,7
1065,1
1066,3
1067,4
1068,8
1069,4
1070,0
1071,4
1072,7
1073,3
1074,1
1075,3
1076,4
1077,5
1078,4
1079,4
1080,4
1081,6
1082,4
1083,4
1084,4
1085,8
1086,8
1087,1
1088,3
1089,0
1090,8
1091,1
1092,1
1093,8
1094,8
1095,9
1096,8
1097,3
1098,1
1099,2
1100,1
1101,9
1102,4
1103,4
1104,4
1105,4
1106,4
1107,0
1108,8
1109,0
1110,2
1111,2
1112,4
1113,1
1114,8
1115,8
1116,4
1117,4
1118,1
1119,2
1120,4
1121,2
1122,7
1123,2
1124,4
1125,8
1126,7
1127,4
1128,4
1129,5
1130,2
1131,3
1132,8
1133,0
1134,2
1135,3
1136,4
1137,7
1138,7
1139,4
1140,8
1141,1
1142,1
1143,0
1144,2
1145,9
1146,1
1147,2
1148,3
1149,5
1150,2
1151,4
1152,8
1153,4
1154,4
1155,4
1156,8
1157,8
1158,4
1159,3
1160,4
1161,2
1162,5
1163,4
1164,4
1165,4
1166,8
1167,2
1168,4
1169,4
1170,4
1171,1
1172,0
1173,4
1174,9
1175,2
1176,4
1177,2
1178,5
1179,3
1180,8
1181,4
1182,8
1183,8
1184,4
1185,4
1186,2
1187,8
1188,6
1189,5
1190,4
1191,1
1192,8
1193,2
1194,2
1195,4
1196,3
1197,4
1198,3
1199,4
1200,4
1201,4
1202,8
1203,8
1204,1
1205,0
1206,2
1207,8
1208,4
1209,9
1210,4
1211,4
1212,4
1213,5
1214,4
1215,8
1216,4
1217,4
1218,2
1219,3
1220,4
1221,4
1222,4
1223,4
1224,8
1225,4
1226,6
1227,4
1228,8
1229,4
1230,4
1231,2
1232,8
1233,2
1234,4
1235,8
1236,2
1237,1
1238,4
1239,2
1240,4
1241,8
1242,1
1243,4
1244,7
1245,2
1246,3
1247,9
1248,1
1249,0
1250,4
1251,4
1252,0
1253,4
1254,6
1255,1
1256,9
1257,9
1258,4
1259,4
1260,8
1261,4
1262,4
1263,8
1264,7
1265,1
1266,3
1267,4
1268,5
1269,1
1270,1
1271,4
1272,4
1273,4
1274,4
1275,4
1276,4
1277,6
1278,2
1279,0
1280,3
1281,2
1282,4
1283,8
1284,2
1285,4
1286,4
1287,4
1288,3
1289,3
1290,4
1291,7
1292,4
1293,8
1294,8
1295,4
1296,1
1297,8
1298,2
1299,6
1300,8
1301,4
1302,3
1303,1
1304,4
1305,6
1306,4
1307,1
1308,3
1309,8
1310,9
1311,3
1312,2
1313,4
1314,4
1315,9
1316,4
1317,4
1318,8
1319,5
1320,2
1321,4
1322,7
1323,5
1324,0
1325,7
1326,4
1327,4
1328,2
1329,6
1330,4
1331,8
1332,1
1333,8
1334,2
1335,8
1336,4
1337,4
1338,4
1339,3
1340,5
1341,3
1342,8
1343,2
1344,4
1345,0
1346,4
1347,4
1348,0
1349,8
1350,2
1351,3
1352,4
1353,4
1354,9
1355,9
1356,3
1357,3
1358,4
1359,4
1360,4
1361,2
1362,0
1363,5
1364,8
1365,4
1366,4
1367,1
1368,1
1369,4
1370,2
1371,3
1372,4
1373,3
1374,4
1375,4
1376,2
1377,4
1378,1
1379,8
1380,3
1381,6
1382,8
1383,2
1384,4
1385,8
1386,8
1387,8
1388,4
1389,2
1390,8
1391,4
1392,9
1393,2
1394,4
1395,2
1396,2
1397,7
1398,4
1399,9
1400,4
1401,4
1402,4
1403,6
1404,5
1405,1
1406,4
1407,2
1408,7
1409,4
1410,9
1411,4
1412,4
1413,4
1414,8
1415,7
1416,2
1417,8
1418,8
1419,3
1420,1
1421,2
1422,3
1423,8
1424,4
1425,8
1426,4
1427,1
1428,8
1429,5
1430,8
1431,3
1432,5
1433,2
1434,2
1435,4
1436,2
1437,2
1438,4
1439,3
1440,3
1441,5
1442,8
1443,4
1444,7
1445,3
1446,2
1447,4
